站點名稱,城鎮,aqi,狀態,日期
臺東,臺東縣,33,良好,"Fri 29 Mar 2024, 12:00PM"
恆春,屏東縣,33,良好,"Fri 29 Mar 2024, 12:00PM"
潮州,屏東縣,58,普通,"Fri 29 Mar 2024, 12:00PM"
屏東,屏東縣,38,良好,"Fri 29 Mar 2024, 12:00PM"
小港,高雄市,52,普通,"Fri 29 Mar 2024, 12:00PM"
前鎮,高雄市,59,普通,"Fri 29 Mar 2024, 12:00PM"
前金,高雄市,50,良好,"Fri 29 Mar 2024, 12:00PM"
左營,高雄市,62,普通,"Fri 29 Mar 2024, 12:00PM"
楠梓,高雄市,70,普通,"Fri 29 Mar 2024, 12:00PM"
林園,高雄市,55,普通,"Fri 29 Mar 2024, 12:00PM"
大寮,高雄市,61,普通,"Fri 29 Mar 2024, 12:00PM"
鳳山,高雄市,55,普通,"Fri 29 Mar 2024, 12:00PM"
仁武,高雄市,71,普通,"Fri 29 Mar 2024, 12:00PM"
橋頭,高雄市,72,普通,"Fri 29 Mar 2024, 12:00PM"
美濃,高雄市,33,良好,"Fri 29 Mar 2024, 12:00PM"
臺南,臺南市,55,普通,"Fri 29 Mar 2024, 12:00PM"
安南,臺南市,62,普通,"Fri 29 Mar 2024, 12:00PM"
善化,臺南市,67,普通,"Fri 29 Mar 2024, 12:00PM"
新營,臺南市,56,普通,"Fri 29 Mar 2024, 12:00PM"
嘉義,嘉義市,80,普通,"Fri 29 Mar 2024, 12:00PM"
臺西,雲林縣,64,普通,"Fri 29 Mar 2024, 12:00PM"
朴子,嘉義縣,70,普通,"Fri 29 Mar 2024, 12:00PM"
新港,嘉義縣,74,普通,"Fri 29 Mar 2024, 12:00PM"
崙背,雲林縣,80,普通,"Fri 29 Mar 2024, 12:00PM"
斗六,雲林縣,67,普通,"Fri 29 Mar 2024, 12:00PM"
南投,南投縣,57,普通,"Fri 29 Mar 2024, 12:00PM"
二林,彰化縣,111,對敏感族群不健康,"Fri 29 Mar 2024, 12:00PM"
線西,彰化縣,76,普通,"Fri 29 Mar 2024, 12:00PM"
彰化,彰化縣,62,普通,"Fri 29 Mar 2024, 12:00PM"
西屯,臺中市,70,普通,"Fri 29 Mar 2024, 12:00PM"
忠明,臺中市,50,良好,"Fri 29 Mar 2024, 12:00PM"
大里,臺中市,72,普通,"Fri 29 Mar 2024, 12:00PM"
沙鹿,臺中市,64,普通,"Fri 29 Mar 2024, 12:00PM"
豐原,臺中市,65,普通,"Fri 29 Mar 2024, 12:00PM"
三義,苗栗縣,65,普通,"Fri 29 Mar 2024, 12:00PM"
苗栗,苗栗縣,73,普通,"Fri 29 Mar 2024, 12:00PM"
頭份,苗栗縣,76,普通,"Fri 29 Mar 2024, 12:00PM"
新竹,新竹市,79,普通,"Fri 29 Mar 2024, 12:00PM"
竹東,新竹縣,64,普通,"Fri 29 Mar 2024, 12:00PM"
湖口,新竹縣,81,普通,"Fri 29 Mar 2024, 12:00PM"
龍潭,桃園市,79,普通,"Fri 29 Mar 2024, 12:00PM"
平鎮,桃園市,68,普通,"Fri 29 Mar 2024, 12:00PM"
觀音,桃園市,73,普通,"Fri 29 Mar 2024, 12:00PM"
大園,桃園市,72,普通,"Fri 29 Mar 2024, 12:00PM"
桃園,桃園市,73,普通,"Fri 29 Mar 2024, 12:00PM"
大同,臺北市,83,普通,"Fri 29 Mar 2024, 12:00PM"
松山,臺北市,73,普通,"Fri 29 Mar 2024, 12:00PM"
古亭,臺北市,78,普通,"Fri 29 Mar 2024, 12:00PM"
萬華,臺北市,70,普通,"Fri 29 Mar 2024, 12:00PM"
中山,臺北市,66,普通,"Fri 29 Mar 2024, 12:00PM"
士林,臺北市,61,普通,"Fri 29 Mar 2024, 12:00PM"
淡水,新北市,68,普通,"Fri 29 Mar 2024, 12:00PM"
林口,新北市,75,普通,"Fri 29 Mar 2024, 12:00PM"
菜寮,新北市,67,普通,"Fri 29 Mar 2024, 12:00PM"
新莊,新北市,67,普通,"Fri 29 Mar 2024, 12:00PM"
板橋,新北市,63,普通,"Fri 29 Mar 2024, 12:00PM"
土城,新北市,76,普通,"Fri 29 Mar 2024, 12:00PM"
新店,新北市,74,普通,"Fri 29 Mar 2024, 12:00PM"
萬里,新北市,64,普通,"Fri 29 Mar 2024, 12:00PM"
汐止,新北市,59,普通,"Fri 29 Mar 2024, 12:00PM"
基隆,基隆市,56,普通,"Fri 29 Mar 2024, 12:00PM"
屏東(枋山),屏東縣,48,良好,"Fri 29 Mar 2024, 11:00AM"
新北(樹林),新北市,89,普通,"Fri 29 Mar 2024, 11:00AM"
屏東(琉球),屏東縣,46,良好,"Fri 29 Mar 2024, 11:00AM"
臺南(麻豆),臺南市,58,普通,"Fri 29 Mar 2024, 11:00AM"
高雄(湖內),高雄市,35,良好,"Fri 29 Mar 2024, 11:00AM"
彰化(員林),彰化縣,67,普通,"Fri 29 Mar 2024, 11:00AM"
大城,彰化縣,71,普通,"Fri 29 Mar 2024, 11:00AM"
